Episode,Steps,Epsilon
0,2000,0.8991
1,2000,0.8982009
2,2000,0.8973026990999999
3,2000,0.8964053964008999
4,2000,0.895508991004499
5,2000,0.8946134820134944
6,2000,0.893718868531481
7,1727,0.8928251496629495
8,2000,0.8919323245132865
9,2000,0.8910403921887733
10,2000,0.8901493517965845
11,894,0.889259202444788
12,860,0.8883699432423432
13,2000,0.8874815732991008
14,1588,0.8865940917258017
15,2000,0.885707497634076
16,1786,0.8848217901364419
17,813,0.8839369683463054
18,968,0.8830530313779591
19,2000,0.8821699783465812
20,2000,0.8812878083682346
21,2000,0.8804065205598663
22,2000,0.8795261140393065
23,291,0.8786465879252672
24,2000,0.8777679413373419
25,2000,0.8768901733960046
26,390,0.8760132832226086
27,687,0.875137269939386
28,699,0.8742621326694466
29,2000,0.8733878705367771
30,2000,0.8725144826662403
31,821,0.8716419681835741
32,1037,0.8707703262153905
33,454,0.8698995558891751
34,289,0.8690296563332859
35,2000,0.8681606266769526
36,2000,0.8672924660502757
37,686,0.8664251735842253
38,787,0.8655587484106411
39,586,0.8646931896622304
40,604,0.8638284964725682
41,486,0.8629646679760956
42,1008,0.8621017033081195
43,749,0.8612396016048114
44,531,0.8603783620032066
45,559,0.8595179836412034
46,348,0.8586584656575621
47,1044,0.8577998071919045
48,239,0.8569420073847126
49,653,0.8560850653773279
50,524,0.8552289803119505
51,496,0.8543737513316385
52,688,0.8535193775803068
53,566,0.8526658582027266
54,1152,0.8518131923445238
55,2000,0.8509613791521793
56,2000,0.8501104177730271
57,985,0.849260307355254
58,309,0.8484110470478988
59,761,0.8475626360008509
60,199,0.8467150733648501
61,829,0.8458683582914852
62,2000,0.8450224899331937
63,399,0.8441774674432605
64,1681,0.8433332899758172
65,752,0.8424899566858415
66,563,0.8416474667291557
67,341,0.8408058192624265
68,312,0.8399650134431641
69,179,0.8391250484297209
70,1652,0.8382859233812912
71,292,0.8374476374579098
72,544,0.836610189820452
73,468,0.8357735796306315
74,648,0.8349378060510009
75,301,0.8341028682449498
76,1059,0.8332687653767049
77,360,0.8324354966113282
78,1202,0.8316030611147168
79,544,0.8307714580536021
80,297,0.8299406865955485
81,243,0.829110745908953
82,273,0.828281635163044
83,368,0.827453353527881
84,174,0.8266259001743531
85,269,0.8257992742741788
86,258,0.8249734749999046
87,259,0.8241485015249047
88,521,0.8233243530233798
